States,States,Jobs
29-2032,Alabama,1100
29-2033,Alabama,350
29-2037,Alabama,0
29-2041,Alabama,4010
29-2051,Alabama,120
29-2052,Alabama,7290
29-2053,Alabama,1030
29-2054,Alabama,220
29-2055,Alabama,2050
29-2056,Alabama,980
29-2061,Alabama,13030
29-2071,Alabama,2670
29-2081,Alabama,1210
29-2091,Alabama,130
29-2799,Alabama,0
29-9011,Alabama,1050
29-9012,Alabama,100
29-9091,Alabama,420
29-9799,Alabama,0
31-1011,Alabama,5060
31-1013,Alabama,1930
31-2011,Alabama,500
31-2012,Alabama,110
31-2021,Alabama,1900
31-2022,Alabama,570
31-9011,Alabama,400
31-9091,Alabama,3250
31-9092,Alabama,7290
31-9093,Alabama,1150
31-9094,Alabama,610
31-9095,Alabama,620
31-9096,Alabama,1010
31-9799,Alabama,0
33-1011,Alabama,440
33-1012,Alabama,1180
33-1021,Alabama,1010
33-2011,Alabama,4520
33-2021,Alabama,120
33-2022,Alabama,50
33-3011,Alabama,80
33-3012,Alabama,5540
33-3021,Alabama,1310
33-3031,Alabama,200
33-3041,Alabama,90
33-3051,Alabama,10410
33-3052,Alabama,0
33-9011,Alabama,220
33-9021,Alabama,220
33-9031,Alabama,60
33-9032,Alabama,12920
33-9091,Alabama,530
33-9092,Alabama,1340
35-1011,Alabama,610
35-1012,Alabama,16320
35-2011,Alabama,6940
35-2012,Alabama,10700
35-2013,Alabama,0
35-2014,Alabama,15790
35-2015,Alabama,3100
35-2021,Alabama,9460
35-3011,Alabama,3700
35-3021,Alabama,49320
35-3022,Alabama,4580
35-3031,Alabama,32420
35-3041,Alabama,1960
35-9011,Alabama,2160
35-9021,Alabama,4790
35-9031,Alabama,4900
37-1011,Alabama,2510
37-1012,Alabama,2020
37-2011,Alabama,30520
37-2012,Alabama,8890
37-2021,Alabama,2000
37-3011,Alabama,12860
37-3012,Alabama,130
37-3013,Alabama,240
39-1011,Alabama,100
39-1012,Alabama,60
39-1021,Alabama,2850
39-2011,Alabama,50
39-2021,Alabama,2690
39-3011,Alabama,0
39-3012,Alabama,330
39-3021,Alabama,0
39-3031,Alabama,650
39-3091,Alabama,1910
39-3092,Alabama,0
39-3093,Alabama,50
39-4011,Alabama,70
39-4021,Alabama,820
39-4831,Alabama,0
39-5011,Alabama,0
39-5012,Alabama,3450
39-5091,Alabama,0
39-5092,Alabama,410
39-5093,Alabama,140
39-5094,Alabama,340
39-6011,Alabama,290
39-6012,Alabama,0
39-7011,Alabama,330
39-7012,Alabama,0
39-9011,Alabama,9000
39-9021,Alabama,13230
39-9031,Alabama,2230
39-9032,Alabama,3980
39-9041,Alabama,2250
41-1011,Alabama,24120
41-1012,Alabama,3270
41-2011,Alabama,72610
41-2012,Alabama,0
41-2021,Alabama,8810
41-2022,Alabama,4200
41-2031,Alabama,59690
41-3011,Alabama,1560
41-3021,Alabama,5680
41-3031,Alabama,1690
41-3041,Alabama,370
41-4011,Alabama,890
41-4012,Alabama,23200
41-9011,Alabama,780
41-9012,Alabama,0
41-9021,Alabama,220
41-9022,Alabama,900
41-9031,Alabama,270
41-9041,Alabama,2240
41-9091,Alabama,0
43-1011,Alabama,17410
43-2011,Alabama,1230
43-2021,Alabama,0
43-3011,Alabama,4180
43-3021,Alabama,7160
43-3031,Alabama,22190
43-3041,Alabama,0
43-3051,Alabama,2400
43-3061,Alabama,690
43-3071,Alabama,9400
43-4011,Alabama,670
43-4021,Alabama,50
43-4031,Alabama,2550
43-4041,Alabama,280
43-4051,Alabama,30720
43-4061,Alabama,3240
43-4071,Alabama,690
43-4081,Alabama,3840
43-4111,Alabama,3300
43-4121,Alabama,1290
43-4131,Alabama,2940
43-4141,Alabama,430
43-4151,Alabama,1330
43-4161,Alabama,1500
43-4171,Alabama,13610
43-4181,Alabama,510
43-5011,Alabama,740
43-5021,Alabama,1680
43-5031,Alabama,2540
43-5032,Alabama,2190
43-5041,Alabama,630
43-5051,Alabama,1330
43-5052,Alabama,5320
43-5053,Alabama,1030
43-5061,Alabama,2500
43-5071,Alabama,8060
43-5081,Alabama,23870
43-5111,Alabama,1860
43-6011,Alabama,3300
43-6012,Alabama,3960
43-6013,Alabama,5130
43-6014,Alabama,45760
43-9011,Alabama,720
43-9021,Alabama,1540
43-9022,Alabama,350
43-9031,Alabama,80
43-9041,Alabama,2800
43-9051,Alabama,480
43-9061,Alabama,32610
43-9071,Alabama,720
43-9081,Alabama,0
43-9111,Alabama,80
45-1011,Alabama,360
45-2011,Alabama,510
45-2021,Alabama,0
45-2041,Alabama,680
45-2090,Alabama,0
45-3011,Alabama,0
45-3021,Alabama,0
45-4011,Alabama,50
45-4021,Alabama,90
45-4022,Alabama,2280
45-4023,Alabama,120
47-1011,Alabama,10880
47-2011,Alabama,290
47-2021,Alabama,460
47-2022,Alabama,50
47-2031,Alabama,8160
47-2041,Alabama,0
47-2042,Alabama,270
47-2043,Alabama,0
47-2044,Alabama,230
47-2051,Alabama,1670
47-2053,Alabama,0
47-2061,Alabama,7560
47-2071,Alabama,1200
47-2072,Alabama,0
47-2073,Alabama,5530
47-2081,Alabama,550
47-2082,Alabama,0
47-2111,Alabama,9050
47-2121,Alabama,480
47-2131,Alabama,220
47-2132,Alabama,280
47-2141,Alabama,1940
47-2142,Alabama,30
47-2151,Alabama,2390
47-2152,Alabama,5010
47-2161,Alabama,0
47-2171,Alabama,0
47-2181,Alabama,970
47-2211,Alabama,1190
47-2221,Alabama,1340
47-3011,Alabama,340
47-3012,Alabama,680
47-3013,Alabama,1950
47-3014,Alabama,220
47-3015,Alabama,1270
47-3016,Alabama,250
47-4011,Alabama,1170
47-4021,Alabama,270
47-4031,Alabama,260
47-4041,Alabama,470
47-4051,Alabama,3580
47-4061,Alabama,200
47-4071,Alabama,240
47-4091,Alabama,0
47-4799,Alabama,0
47-5011,Alabama,0
47-5012,Alabama,80
47-5013,Alabama,150
47-5021,Alabama,200
47-5031,Alabama,170
47-5041,Alabama,100
47-5042,Alabama,320
47-5051,Alabama,0
47-5061,Alabama,250
47-5071,Alabama,140
47-5081,Alabama,90
49-1011,Alabama,8150
49-2011,Alabama,2000
49-2021,Alabama,420
49-2022,Alabama,4110
49-2091,Alabama,550
49-2092,Alabama,520
49-2093,Alabama,120
49-2094,Alabama,1880
49-2095,Alabama,1190
49-2096,Alabama,0
49-2097,Alabama,360
49-2098,Alabama,860
49-3011,Alabama,2730
49-3021,Alabama,2280
49-3022,Alabama,170
49-3023,Alabama,8100
49-3031,Alabama,4460
49-3041,Alabama,460
49-3042,Alabama,2740
49-3043,Alabama,400
49-3051,Alabama,260
49-3052,Alabama,240
49-3053,Alabama,720
49-3091,Alabama,0
49-3092,Alabama,140
49-3093,Alabama,2940
49-9011,Alabama,0
49-9012,Alabama,1390
49-9021,Alabama,5190
49-9031,Alabama,260
49-9041,Alabama,10510
49-9043,Alabama,790
49-9044,Alabama,1040
49-9045,Alabama,100
49-9051,Alabama,3790
49-9052,Alabama,1050
