States,States,Jobs
13-1111,District_of_Columbia,19820
13-1121,District_of_Columbia,2630
13-1141,District_of_Columbia,520
13-1151,District_of_Columbia,1460
13-1161,District_of_Columbia,5420
13-1199,District_of_Columbia,31000
13-2011,District_of_Columbia,11080
13-2021,District_of_Columbia,0
13-2031,District_of_Columbia,1960
13-2041,District_of_Columbia,220
13-2051,District_of_Columbia,3010
13-2052,District_of_Columbia,500
13-2053,District_of_Columbia,0
13-2061,District_of_Columbia,550
13-2071,District_of_Columbia,90
13-2072,District_of_Columbia,650
13-2081,District_of_Columbia,0
13-2082,District_of_Columbia,200
13-2099,District_of_Columbia,3180
15-1111,District_of_Columbia,640
15-1121,District_of_Columbia,4460
15-1131,District_of_Columbia,1370
15-1132,District_of_Columbia,2330
15-1133,District_of_Columbia,3040
15-1141,District_of_Columbia,950
15-1142,District_of_Columbia,2710
15-1150,District_of_Columbia,0
15-1179,District_of_Columbia,0
15-1799,District_of_Columbia,0
15-2011,District_of_Columbia,180
15-2021,District_of_Columbia,70
15-2031,District_of_Columbia,910
15-2041,District_of_Columbia,1430
15-2091,District_of_Columbia,0
17-1011,District_of_Columbia,1930
17-1012,District_of_Columbia,50
17-1021,District_of_Columbia,0
17-1022,District_of_Columbia,0
17-2011,District_of_Columbia,310
17-2021,District_of_Columbia,0
17-2031,District_of_Columbia,50
17-2041,District_of_Columbia,80
17-2051,District_of_Columbia,990
17-2061,District_of_Columbia,420
17-2071,District_of_Columbia,460
17-2072,District_of_Columbia,0
17-2081,District_of_Columbia,310
17-2111,District_of_Columbia,160
17-2112,District_of_Columbia,240
17-2121,District_of_Columbia,810
17-2131,District_of_Columbia,160
17-2141,District_of_Columbia,780
17-2151,District_of_Columbia,0
17-2161,District_of_Columbia,0
17-2171,District_of_Columbia,0
17-2199,District_of_Columbia,2690
17-3011,District_of_Columbia,320
17-3012,District_of_Columbia,120
17-3013,District_of_Columbia,0
17-3021,District_of_Columbia,0
17-3022,District_of_Columbia,180
17-3023,District_of_Columbia,340
17-3024,District_of_Columbia,0
17-3025,District_of_Columbia,0
17-3026,District_of_Columbia,0
17-3027,District_of_Columbia,0
17-3029,District_of_Columbia,310
17-3031,District_of_Columbia,0
19-1011,District_of_Columbia,0
19-1012,District_of_Columbia,0
19-1013,District_of_Columbia,60
19-1021,District_of_Columbia,0
19-1022,District_of_Columbia,0
19-1023,District_of_Columbia,90
19-1029,District_of_Columbia,280
19-1031,District_of_Columbia,260
19-1032,District_of_Columbia,0
19-1041,District_of_Columbia,60
19-1042,District_of_Columbia,690
19-2011,District_of_Columbia,0
19-2012,District_of_Columbia,570
19-2021,District_of_Columbia,60
19-2031,District_of_Columbia,250
19-2032,District_of_Columbia,0
19-2041,District_of_Columbia,1390
19-2042,District_of_Columbia,0
19-2043,District_of_Columbia,0
19-2099,District_of_Columbia,670
19-3011,District_of_Columbia,7420
19-3022,District_of_Columbia,510
19-3031,District_of_Columbia,430
19-3032,District_of_Columbia,0
19-3039,District_of_Columbia,210
19-3041,District_of_Columbia,0
19-3051,District_of_Columbia,240
19-3091,District_of_Columbia,70
19-3092,District_of_Columbia,0
19-3093,District_of_Columbia,0
19-3094,District_of_Columbia,3790
19-3099,District_of_Columbia,3280
19-4011,District_of_Columbia,0
19-4021,District_of_Columbia,0
19-4031,District_of_Columbia,50
19-4041,District_of_Columbia,0
19-4051,District_of_Columbia,0
19-4061,District_of_Columbia,3620
19-4091,District_of_Columbia,50
19-4092,District_of_Columbia,0
19-4093,District_of_Columbia,0
19-4099,District_of_Columbia,290
21-1011,District_of_Columbia,180
21-1012,District_of_Columbia,1490
21-1013,District_of_Columbia,0
21-1014,District_of_Columbia,930
21-1015,District_of_Columbia,810
21-1021,District_of_Columbia,2090
21-1022,District_of_Columbia,580
21-1023,District_of_Columbia,540
21-1091,District_of_Columbia,690
21-1092,District_of_Columbia,0
21-1093,District_of_Columbia,2020
21-2011,District_of_Columbia,110
21-2021,District_of_Columbia,180
23-1011,District_of_Columbia,31470
23-1012,District_of_Columbia,0
23-1021,District_of_Columbia,0
23-1022,District_of_Columbia,100
23-1023,District_of_Columbia,0
23-2011,District_of_Columbia,5400
23-2091,District_of_Columbia,0
23-2093,District_of_Columbia,60
25-1000,District_of_Columbia,0
25-2011,District_of_Columbia,990
25-2012,District_of_Columbia,60
25-2021,District_of_Columbia,2770
25-2022,District_of_Columbia,1440
25-2023,District_of_Columbia,0
25-2031,District_of_Columbia,3090
25-2032,District_of_Columbia,0
25-2053,District_of_Columbia,210
25-2054,District_of_Columbia,650
25-3011,District_of_Columbia,270
25-3021,District_of_Columbia,330
25-3999,District_of_Columbia,0
25-4011,District_of_Columbia,180
25-4012,District_of_Columbia,130
25-4013,District_of_Columbia,420
25-4021,District_of_Columbia,1160
25-4031,District_of_Columbia,550
25-9011,District_of_Columbia,40
25-9021,District_of_Columbia,0
25-9031,District_of_Columbia,1540
25-9041,District_of_Columbia,3770
27-1011,District_of_Columbia,650
27-1012,District_of_Columbia,0
27-1013,District_of_Columbia,0
27-1014,District_of_Columbia,110
27-1021,District_of_Columbia,0
27-1022,District_of_Columbia,0
27-1023,District_of_Columbia,120
27-1024,District_of_Columbia,1650
27-1025,District_of_Columbia,880
27-1026,District_of_Columbia,130
27-1027,District_of_Columbia,250
27-2011,District_of_Columbia,340
27-2012,District_of_Columbia,1900
27-2021,District_of_Columbia,0
27-2022,District_of_Columbia,440
27-2023,District_of_Columbia,0
27-2031,District_of_Columbia,0
27-2032,District_of_Columbia,0
27-2041,District_of_Columbia,0
27-2042,District_of_Columbia,220
27-3011,District_of_Columbia,190
27-3012,District_of_Columbia,0
27-3021,District_of_Columbia,100
27-3022,District_of_Columbia,2390
27-3031,District_of_Columbia,16540
27-3041,District_of_Columbia,3000
27-3042,District_of_Columbia,800
27-3043,District_of_Columbia,1290
27-3091,District_of_Columbia,460
27-4011,District_of_Columbia,620
27-4012,District_of_Columbia,650
27-4013,District_of_Columbia,0
27-4014,District_of_Columbia,100
27-4021,District_of_Columbia,180
27-4031,District_of_Columbia,730
27-4032,District_of_Columbia,150
29-1011,District_of_Columbia,0
29-1021,District_of_Columbia,260
29-1022,District_of_Columbia,0
29-1023,District_of_Columbia,0
29-1024,District_of_Columbia,0
29-1031,District_of_Columbia,250
29-1041,District_of_Columbia,100
29-1051,District_of_Columbia,800
29-1060,District_of_Columbia,0
29-1071,District_of_Columbia,410
29-1081,District_of_Columbia,60
29-1111,District_of_Columbia,0
29-1122,District_of_Columbia,430
29-1123,District_of_Columbia,670
29-1124,District_of_Columbia,120
29-1125,District_of_Columbia,200
29-1126,District_of_Columbia,380
29-1127,District_of_Columbia,380
29-1131,District_of_Columbia,110
29-1181,District_of_Columbia,100
29-1199,District_of_Columbia,440
29-2011,District_of_Columbia,750
29-2012,District_of_Columbia,480
29-2021,District_of_Columbia,390
29-2031,District_of_Columbia,140
29-2032,District_of_Columbia,150
29-2033,District_of_Columbia,50
29-2037,District_of_Columbia,0
29-2041,District_of_Columbia,1440
29-2051,District_of_Columbia,70
29-2052,District_of_Columbia,950
29-2053,District_of_Columbia,130
29-2054,District_of_Columbia,140
29-2055,District_of_Columbia,280
29-2056,District_of_Columbia,120
29-2061,District_of_Columbia,1720
29-2071,District_of_Columbia,510
29-2081,District_of_Columbia,290
29-2091,District_of_Columbia,0
29-2799,District_of_Columbia,0
29-9011,District_of_Columbia,410
29-9012,District_of_Columbia,50
29-9091,District_of_Columbia,70
29-9799,District_of_Columbia,0
31-1011,District_of_Columbia,4910
31-1013,District_of_Columbia,270
31-2011,District_of_Columbia,40
31-2012,District_of_Columbia,60
31-2021,District_of_Columbia,150
31-2022,District_of_Columbia,80
31-9011,District_of_Columbia,0
31-9091,District_of_Columbia,650
31-9092,District_of_Columbia,1640
31-9093,District_of_Columbia,260
31-9094,District_of_Columbia,40
31-9095,District_of_Columbia,0
31-9096,District_of_Columbia,0
31-9799,District_of_Columbia,0
33-1011,District_of_Columbia,50
33-1012,District_of_Columbia,0
33-1021,District_of_Columbia,0
33-2011,District_of_Columbia,0
33-2021,District_of_Columbia,0
33-2022,District_of_Columbia,0
33-3011,District_of_Columbia,0
33-3012,District_of_Columbia,1110
33-3021,District_of_Columbia,2790
33-3031,District_of_Columbia,0
33-3041,District_of_Columbia,0
33-3051,District_of_Columbia,5250
33-3052,District_of_Columbia,0
33-9011,District_of_Columbia,0
33-9021,District_of_Columbia,100
33-9031,District_of_Columbia,0
33-9032,District_of_Columbia,15140
33-9091,District_of_Columbia,250
33-9092,District_of_Columbia,220
35-1011,District_of_Columbia,1170
35-1012,District_of_Columbia,3710
35-2011,District_of_Columbia,2030
35-2012,District_of_Columbia,1620
35-2013,District_of_Columbia,0
35-2014,District_of_Columbia,6200
35-2015,District_of_Columbia,350
35-2021,District_of_Columbia,3430
35-3011,District_of_Columbia,4310
35-3021,District_of_Columbia,8750
35-3022,District_of_Columbia,1680
35-3031,District_of_Columbia,8720
35-3041,District_of_Columbia,1650
35-9011,District_of_Columbia,4730
35-9021,District_of_Columbia,4330
35-9031,District_of_Columbia,2560
37-1011,District_of_Columbia,1370
37-1012,District_of_Columbia,60
37-2011,District_of_Columbia,15030
37-2012,District_of_Columbia,4250
37-2021,District_of_Columbia,30
37-3011,District_of_Columbia,660
37-3012,District_of_Columbia,0
37-3013,District_of_Columbia,30
39-1011,District_of_Columbia,0
39-1012,District_of_Columbia,0
39-1021,District_of_Columbia,350
39-2011,District_of_Columbia,0
39-2021,District_of_Columbia,410
39-3011,District_of_Columbia,0
39-3012,District_of_Columbia,0
39-3021,District_of_Columbia,0
39-3031,District_of_Columbia,0
39-3091,District_of_Columbia,210
39-3092,District_of_Columbia,70
39-3093,District_of_Columbia,40
39-4011,District_of_Columbia,0
39-4021,District_of_Columbia,0
39-4831,District_of_Columbia,0
39-5011,District_of_Columbia,0
39-5012,District_of_Columbia,1150
39-5091,District_of_Columbia,70
39-5092,District_of_Columbia,50
39-5093,District_of_Columbia,120
39-5094,District_of_Columbia,0
39-6011,District_of_Columbia,670
39-6012,District_of_Columbia,780
39-7011,District_of_Columbia,500
39-7012,District_of_Columbia,50
39-9011,District_of_Columbia,1750
39-9021,District_of_Columbia,5260
39-9031,District_of_Columbia,1080
39-9032,District_of_Columbia,580
39-9041,District_of_Columbia,920
41-1011,District_of_Columbia,1580
41-1012,District_of_Columbia,420
41-2011,District_of_Columbia,9270
41-2012,District_of_Columbia,0
41-2021,District_of_Columbia,510
41-2022,District_of_Columbia,0
41-2031,District_of_Columbia,6500
41-3011,District_of_Columbia,730
41-3021,District_of_Columbia,260
41-3031,District_of_Columbia,1410
41-3041,District_of_Columbia,420
41-4011,District_of_Columbia,500
41-4012,District_of_Columbia,980
41-9011,District_of_Columbia,60
41-9012,District_of_Columbia,0
41-9021,District_of_Columbia,200
41-9022,District_of_Columbia,640
41-9031,District_of_Columbia,0
41-9041,District_of_Columbia,230
41-9091,District_of_Columbia,0
43-1011,District_of_Columbia,5180
43-2011,District_of_Columbia,300
43-2021,District_of_Columbia,50
43-3011,District_of_Columbia,200
43-3021,District_of_Columbia,840
43-3031,District_of_Columbia,3840
43-3041,District_of_Columbia,0
43-3051,District_of_Columbia,500
43-3061,District_of_Columbia,300
43-3071,District_of_Columbia,940
43-4011,District_of_Columbia,130
43-4021,District_of_Columbia,0
43-4031,District_of_Columbia,0
43-4041,District_of_Columbia,0
43-4051,District_of_Columbia,6150
43-4061,District_of_Columbia,660
43-4071,District_of_Columbia,590
43-4081,District_of_Columbia,1120
43-4111,District_of_Columbia,230
43-4121,District_of_Columbia,400
43-4131,District_of_Columbia,200
43-4141,District_of_Columbia,0
43-4151,District_of_Columbia,60
43-4161,District_of_Columbia,810
43-4171,District_of_Columbia,4370
43-4181,District_of_Columbia,320
43-5011,District_of_Columbia,80
43-5021,District_of_Columbia,500
43-5031,District_of_Columbia,150
43-5032,District_of_Columbia,310
43-5041,District_of_Columbia,0
43-5051,District_of_Columbia,150
43-5052,District_of_Columbia,1080
43-5053,District_of_Columbia,630
43-5061,District_of_Columbia,890
43-5071,District_of_Columbia,520
43-5081,District_of_Columbia,2740
43-5111,District_of_Columbia,0
43-6011,District_of_Columbia,6140
43-6012,District_of_Columbia,4290
43-6013,District_of_Columbia,1710
43-6014,District_of_Columbia,14720
43-9011,District_of_Columbia,130
43-9021,District_of_Columbia,420
43-9022,District_of_Columbia,290
43-9031,District_of_Columbia,70
43-9041,District_of_Columbia,370
43-9051,District_of_Columbia,1280
43-9061,District_of_Columbia,10000
43-9071,District_of_Columbia,710
43-9081,District_of_Columbia,40
43-9111,District_of_Columbia,370
45-1011,District_of_Columbia,0
45-2011,District_of_Columbia,0
45-2021,District_of_Columbia,0
45-2041,District_of_Columbia,0
45-2090,District_of_Columbia,0
45-3011,District_of_Columbia,0
45-3021,District_of_Columbia,0
45-4011,District_of_Columbia,40
45-4021,District_of_Columbia,0
45-4022,District_of_Columbia,0
45-4023,District_of_Columbia,0
47-1011,District_of_Columbia,1190
47-2011,District_of_Columbia,0
47-2021,District_of_Columbia,180
47-2022,District_of_Columbia,60
47-2031,District_of_Columbia,2190
47-2041,District_of_Columbia,0
47-2042,District_of_Columbia,0
47-2043,District_of_Columbia,0
47-2044,District_of_Columbia,0
47-2051,District_of_Columbia,560
47-2053,District_of_Columbia,0
47-2061,District_of_Columbia,3560
47-2071,District_of_Columbia,210
47-2072,District_of_Columbia,0
47-2073,District_of_Columbia,570
47-2081,District_of_Columbia,0
47-2082,District_of_Columbia,0
47-2111,District_of_Columbia,1110
47-2121,District_of_Columbia,290
47-2131,District_of_Columbia,0
47-2132,District_of_Columbia,0
47-2141,District_of_Columbia,470
47-2142,District_of_Columbia,0
47-2151,District_of_Columbia,0
47-2152,District_of_Columbia,890
47-2161,District_of_Columbia,70
47-2171,District_of_Columbia,180
47-2181,District_of_Columbia,0
47-2211,District_of_Columbia,130
47-2221,District_of_Columbia,240
47-3011,District_of_Columbia,0
47-3012,District_of_Columbia,150
47-3013,District_of_Columbia,70
47-3014,District_of_Columbia,0
47-3015,District_of_Columbia,490
47-3016,District_of_Columbia,0
47-4011,District_of_Columbia,270
47-4021,District_of_Columbia,0
47-4031,District_of_Columbia,0
47-4041,District_of_Columbia,130
47-4051,District_of_Columbia,0
47-4061,District_of_Columbia,0
47-4071,District_of_Columbia,0
47-4091,District_of_Columbia,0
47-4799,District_of_Columbia,0
47-5011,District_of_Columbia,0
47-5012,District_of_Columbia,0
47-5013,District_of_Columbia,0
47-5021,District_of_Columbia,0
47-5031,District_of_Columbia,0
47-5041,District_of_Columbia,0
47-5042,District_of_Columbia,0
47-5051,District_of_Columbia,0
47-5061,District_of_Columbia,0
47-5071,District_of_Columbia,0
47-5081,District_of_Columbia,0
49-1011,District_of_Columbia,910
49-2011,District_of_Columbia,0
49-2021,District_of_Columbia,0
49-2022,District_of_Columbia,160
49-2091,District_of_Columbia,0
49-2092,District_of_Columbia,0
49-2093,District_of_Columbia,0
49-2094,District_of_Columbia,0
49-2095,District_of_Columbia,0
49-2096,District_of_Columbia,0
49-2097,District_of_Columbia,0
49-2098,District_of_Columbia,0
49-3011,District_of_Columbia,0
49-3021,District_of_Columbia,0
49-3022,District_of_Columbia,0
49-3023,District_of_Columbia,390
49-3031,District_of_Columbia,130
49-3041,District_of_Columbia,0
49-3042,District_of_Columbia,80
49-3043,District_of_Columbia,0
49-3051,District_of_Columbia,0
49-3052,District_of_Columbia,0
49-3053,District_of_Columbia,0
49-3091,District_of_Columbia,170
49-3092,District_of_Columbia,0
49-3093,District_of_Columbia,0
49-9011,District_of_Columbia,0
49-9012,District_of_Columbia,0
49-9021,District_of_Columbia,330
49-9031,District_of_Columbia,0
49-9041,District_of_Columbia,80
49-9043,District_of_Columbia,160
49-9044,District_of_Columbia,0
49-9045,District_of_Columbia,0
49-9051,District_of_Columbia,0
49-9052,District_of_Columbia,230
49-9061,District_of_Columbia,0
49-9062,District_of_Columbia,40
49-9063,District_of_Columbia,0
49-9064,District_of_Columbia,0
49-9071,District_of_Columbia,4820
49-9091,District_of_Columbia,0
49-9092,District_of_Columbia,0
49-9093,District_of_Columbia,0
49-9094,District_of_Columbia,40
49-9095,District_of_Columbia,0
49-9096,District_of_Columbia,50
49-9097,District_of_Columbia,0
49-9098,District_of_Columbia,310
49-9799,District_of_Columbia,0
51-1011,District_of_Columbia,260
51-2011,District_of_Columbia,0
51-2021,District_of_Columbia,0
51-2022,District_of_Columbia,0
51-2023,District_of_Columbia,0
51-2031,District_of_Columbia,0
51-2041,District_of_Columbia,0
51-2091,District_of_Columbia,0
51-2092,District_of_Columbia,0
51-2093,District_of_Columbia,0
51-3011,District_of_Columbia,290
51-3021,District_of_Columbia,290
51-3022,District_of_Columbia,0
51-3023,District_of_Columbia,0
51-3091,District_of_Columbia,0
51-3092,District_of_Columbia,0
51-3093,District_of_Columbia,0
51-4011,District_of_Columbia,0
51-4012,District_of_Columbia,0
51-4021,District_of_Columbia,0
51-4022,District_of_Columbia,0
51-4023,District_of_Columbia,0
51-4031,District_of_Columbia,0
51-4032,District_of_Columbia,0
51-4033,District_of_Columbia,0
51-4034,District_of_Columbia,0
51-4035,District_of_Columbia,0
51-4041,District_of_Columbia,140
51-4051,District_of_Columbia,0
51-4052,District_of_Columbia,0
51-4061,District_of_Columbia,0
51-4062,District_of_Columbia,0
51-4071,District_of_Columbia,0
51-4072,District_of_Columbia,0
51-4081,District_of_Columbia,0
51-4111,District_of_Columbia,0
51-4121,District_of_Columbia,50
51-4122,District_of_Columbia,0
51-4191,District_of_Columbia,0
51-4192,District_of_Columbia,0
51-4193,District_of_Columbia,0
51-4194,District_of_Columbia,0
51-5111,District_of_Columbia,0
51-5112,District_of_Columbia,550
51-5113,District_of_Columbia,240
51-6011,District_of_Columbia,400
51-6021,District_of_Columbia,110
51-6031,District_of_Columbia,40
51-6041,District_of_Columbia,0
51-6042,District_of_Columbia,0
51-6051,District_of_Columbia,0
51-6052,District_of_Columbia,290
51-6061,District_of_Columbia,0
51-6062,District_of_Columbia,0
51-6063,District_of_Columbia,0
51-6064,District_of_Columbia,0
51-6091,District_of_Columbia,0
51-6092,District_of_Columbia,0
51-6093,District_of_Columbia,0
51-7011,District_of_Columbia,80
51-7021,District_of_Columbia,0
51-7031,District_of_Columbia,0
51-7032,District_of_Columbia,0
51-7041,District_of_Columbia,0
51-7042,District_of_Columbia,0
51-8011,District_of_Columbia,0
51-8012,District_of_Columbia,0
51-8013,District_of_Columbia,0
51-8021,District_of_Columbia,750
51-8031,District_of_Columbia,0
51-8091,District_of_Columbia,0
51-8092,District_of_Columbia,0
51-8093,District_of_Columbia,0
51-8099,District_of_Columbia,0
51-9011,District_of_Columbia,0
51-9012,District_of_Columbia,0
51-9021,District_of_Columbia,0
51-9022,District_of_Columbia,0
51-9023,District_of_Columbia,0
51-9031,District_of_Columbia,0
51-9032,District_of_Columbia,0
51-9041,District_of_Columbia,0
51-9051,District_of_Columbia,0
51-9061,District_of_Columbia,70
51-9071,District_of_Columbia,0
51-9081,District_of_Columbia,50
51-9082,District_of_Columbia,0
51-9083,District_of_Columbia,0
51-9111,District_of_Columbia,0
51-9121,District_of_Columbia,0
51-9122,District_of_Columbia,0
51-9123,District_of_Columbia,0
51-9141,District_of_Columbia,0
51-9151,District_of_Columbia,70
51-9191,District_of_Columbia,0
51-9192,District_of_Columbia,0
51-9193,District_of_Columbia,0
51-9194,District_of_Columbia,0
51-9195,District_of_Columbia,0
51-9196,District_of_Columbia,0
51-9197,District_of_Columbia,0
51-9198,District_of_Columbia,0
51-9399,District_of_Columbia,0
53-1011,District_of_Columbia,0
53-1021,District_of_Columbia,80
53-1031,District_of_Columbia,480
53-2011,District_of_Columbia,0
53-2012,District_of_Columbia,0
53-2021,District_of_Columbia,0
53-2022,District_of_Columbia,0
53-2031,District_of_Columbia,0
53-3011,District_of_Columbia,0
53-3021,District_of_Columbia,260
53-3022,District_of_Columbia,1230
53-3031,District_of_Columbia,450
53-3032,District_of_Columbia,500
53-3033,District_of_Columbia,1690
53-3041,District_of_Columbia,420
53-4011,District_of_Columbia,0
53-4012,District_of_Columbia,0
53-4013,District_of_Columbia,0
53-4021,District_of_Columbia,0
53-4031,District_of_Columbia,0
53-4041,District_of_Columbia,0
53-5011,District_of_Columbia,30
53-5021,District_of_Columbia,0
53-5022,District_of_Columbia,0
53-5031,District_of_Columbia,0
53-6011,District_of_Columbia,0
53-6021,District_of_Columbia,2140
53-6031,District_of_Columbia,0
53-6041,District_of_Columbia,0
53-6051,District_of_Columbia,240
53-6061,District_of_Columbia,260
53-7011,District_of_Columbia,0
53-7021,District_of_Columbia,110
53-7031,District_of_Columbia,0
53-7032,District_of_Columbia,90
53-7033,District_of_Columbia,0
53-7041,District_of_Columbia,0
53-7051,District_of_Columbia,80
53-7061,District_of_Columbia,520
53-7062,District_of_Columbia,1990
53-7063,District_of_Columbia,0
53-7064,District_of_Columbia,220
53-7071,District_of_Columbia,0
53-7072,District_of_Columbia,0
53-7073,District_of_Columbia,0
53-7081,District_of_Columbia,590
53-7111,District_of_Columbia,0
53-7121,District_of_Columbia,0
11-1011,Florida,14120
11-1021,Florida,77340
Nov-11,Florida,750
Nov-21,Florida,7600
Nov-22,Florida,13560
Nov-31,Florida,1710
Nov-11,Florida,10710
Nov-21,Florida,11460
Nov-31,Florida,20390
Nov-51,Florida,4810
Nov-61,Florida,2470
Nov-71,Florida,4150
Nov-11,Florida,600
Nov-21,Florida,4970
Nov-31,Florida,1180
Nov-13,Florida,120
Nov-21,Florida,18090
Nov-31,Florida,640
Nov-32,Florida,4670
Nov-33,Florida,1270
Nov-41,Florida,6380
Nov-51,Florida,9160
Nov-71,Florida,170
Nov-81,Florida,3380
Nov-11,Florida,12130
Nov-21,Florida,950
Nov-31,Florida,360
Nov-41,Florida,20850
Nov-51,Florida,3150
Nov-61,Florida,150
Nov-99,Florida,15880
13-1011,Florida,970
13-1021,Florida,290
13-1022,Florida,3830
13-1023,Florida,15820
13-1031,Florida,20020
13-1032,Florida,1380
13-1041,Florida,16260
13-1051,Florida,13240
13-1074,Florida,0
13-1078,Florida,0
13-1081,Florida,6150
13-1111,Florida,42770
13-1121,Florida,6470
13-1141,Florida,3870
13-1151,Florida,14800
13-1161,Florida,26860
13-1199,Florida,77000
13-2011,Florida,75640
13-2021,Florida,4170
13-2031,Florida,2910
13-2041,Florida,2780
13-2051,Florida,10990
13-2052,Florida,11270
13-2053,Florida,4300
13-2061,Florida,2930
13-2071,Florida,3050
13-2072,Florida,21060
13-2081,Florida,4220
13-2082,Florida,3500
13-2099,Florida,6550
15-1111,Florida,500
15-1121,Florida,18050
15-1131,Florida,11690
15-1132,Florida,33070
15-1133,Florida,15520
15-1141,Florida,7310
15-1142,Florida,17420
15-1150,Florida,0
15-1179,Florida,0
15-1799,Florida,0
15-2011,Florida,580
15-2021,Florida,110
15-2031,Florida,6340
15-2041,Florida,830
15-2091,Florida,70
17-1011,Florida,4800
17-1012,Florida,1470
17-1021,Florida,520
17-1022,Florida,3320
17-2011,Florida,2490
17-2021,Florida,140
17-2031,Florida,650
17-2041,Florida,420
17-2051,Florida,16930
17-2061,Florida,2100
17-2071,Florida,6250
17-2072,Florida,5220
17-2081,Florida,2530
17-2111,Florida,910
17-2112,Florida,9750
17-2121,Florida,270
17-2131,Florida,560
17-2141,Florida,6980
17-2151,Florida,100
17-2161,Florida,130
17-2171,Florida,0
17-2199,Florida,5120
17-3011,Florida,6160
17-3012,Florida,860
17-3013,Florida,2460
17-3021,Florida,730
17-3022,Florida,2930
17-3023,Florida,5400
17-3024,Florida,250
17-3025,Florida,680
17-3026,Florida,2070
17-3027,Florida,750
17-3029,Florida,2100
17-3031,Florida,5250
19-1011,Florida,80
19-1012,Florida,230
19-1013,Florida,290
19-1021,Florida,860
19-1022,Florida,260
19-1023,Florida,1750
19-1029,Florida,1550
19-1031,Florida,260
19-1032,Florida,260
19-1041,Florida,40
19-1042,Florida,1940
19-2011,Florida,0
19-2012,Florida,540
19-2021,Florida,460
19-2031,Florida,2370
19-2032,Florida,130
19-2041,Florida,5320
19-2042,Florida,570
19-2043,Florida,230
19-2099,Florida,450
19-3011,Florida,210
19-3022,Florida,450
19-3031,Florida,2720
19-3032,Florida,0
19-3039,Florida,1470
19-3041,Florida,80
19-3051,Florida,1920
19-3091,Florida,170
19-3092,Florida,0
19-3093,Florida,60
19-3094,Florida,0
19-3099,Florida,1760
19-4011,Florida,210
19-4021,Florida,2060
19-4031,Florida,2010
19-4041,Florida,120
19-4051,Florida,0
19-4061,Florida,340
19-4091,Florida,1400
19-4092,Florida,1480
19-4093,Florida,200
19-4099,Florida,2960
21-1011,Florida,4440
21-1012,Florida,11230
21-1013,Florida,3030
21-1014,Florida,3990
21-1015,Florida,2820
21-1021,Florida,9780
21-1022,Florida,6390
21-1023,Florida,3190
21-1091,Florida,3250
21-1092,Florida,4420
21-1093,Florida,11730
21-2011,Florida,2160
21-2021,Florida,1190
23-1011,Florida,47590
23-1012,Florida,200
23-1021,Florida,550
23-1022,Florida,310
23-1023,Florida,1330
23-2011,Florida,24430
23-2091,Florida,1120
23-2093,Florida,4090
25-1000,Florida,0
25-2011,Florida,19160
25-2012,Florida,11490
25-2021,Florida,73190
25-2022,Florida,31880
25-2023,Florida,380
25-2031,Florida,44070
25-2032,Florida,8090
25-2053,Florida,2000
25-2054,Florida,2240
25-3011,Florida,2260
25-3021,Florida,13060
25-3999,Florida,0
25-4011,Florida,160
25-4012,Florida,360
25-4013,Florida,280
25-4021,Florida,5970
25-4031,Florida,2410
25-9011,Florida,0
25-9021,Florida,600
25-9031,Florida,9820
25-9041,Florida,44150
27-1011,Florida,1120
27-1012,Florida,250
27-1013,Florida,580
27-1014,Florida,1370
27-1021,Florida,770
27-1022,Florida,470
27-1023,Florida,2260
27-1024,Florida,12500
27-1025,Florida,4730
27-1026,Florida,8490
27-1027,Florida,280
27-2011,Florida,790
27-2012,Florida,5960
27-2021,Florida,1340
27-2022,Florida,7030
27-2023,Florida,670
27-2031,Florida,0
27-2032,Florida,110
27-2041,Florida,690
27-2042,Florida,1740
27-3011,Florida,1670
27-3012,Florida,450
27-3021,Florida,430
27-3022,Florida,2270
27-3031,Florida,11210
27-3041,Florida,4340
27-3042,Florida,2250
27-3043,Florida,1830
27-3091,Florida,2770
27-4011,Florida,4250
27-4012,Florida,1970
27-4013,Florida,0
27-4014,Florida,570
27-4021,Florida,3680
27-4031,Florida,880
27-4032,Florida,1380
29-1011,Florida,2070
29-1021,Florida,5900
29-1022,Florida,0
29-1023,Florida,510
29-1024,Florida,0
29-1031,Florida,2950
29-1041,Florida,1940
29-1051,Florida,21490
29-1060,Florida,0
29-1071,Florida,5290
29-1081,Florida,820
29-1111,Florida,0
29-1122,Florida,6140
29-1123,Florida,12480
29-1124,Florida,1190
29-1125,Florida,580
29-1126,Florida,8590
29-1127,Florida,7260
29-1131,Florida,3610
29-1181,Florida,670
29-1199,Florida,2920
29-2011,Florida,10150
29-2012,Florida,7070
29-2021,Florida,11010
29-2031,Florida,4270
29-2032,Florida,5120
29-2033,Florida,1660
29-2037,Florida,0
29-2041,Florida,10330
29-2051,Florida,1140
29-2052,Florida,27660
29-2053,Florida,9060
29-2054,Florida,490
29-2055,Florida,6940
29-2056,Florida,8510
29-2061,Florida,44820
29-2071,Florida,10600
29-2081,Florida,4930
29-2091,Florida,320
29-2799,Florida,0
29-9011,Florida,2230
29-9012,Florida,510
29-9091,Florida,1150
29-9799,Florida,0
31-1011,Florida,25560
31-1013,Florida,1760
31-2011,Florida,2280
31-2012,Florida,70
31-2021,Florida,5340
31-2022,Florida,2480
31-9011,Florida,8220
31-9091,Florida,17970
31-9092,Florida,50550
