soc_name,sector
First-Line Supervisors of Construction Trades and Extraction Workers,23
Boilermakers,23
Brickmasons and Blockmasons,23
Stonemasons,23
Carpenters,23
Carpet Installers,23
Floor Layers; Except Carpet; Wood; and Hard Tiles,23
Floor Sanders and Finishers,23
Tile and Marble Setters,23
Cement Masons and Concrete Finishers,23
Terrazzo Workers and Finishers,23
Construction Laborers,23
Paving; Surfacing; and Tamping Equipment Operators,23
Pile-Driver Operators,23
Operating Engineers and Other Construction Equipment Operators,23
Drywall and Ceiling Tile Installers,23
Tapers,23
Electricians,23
Glaziers,23
Insulation Workers; Floor; Ceiling; and Wall,23
Insulation Workers; Mechanical,23
Painters; Construction and Maintenance,23
Paperhangers,23
Pipelayers,23
Plumbers; Pipefitters; and Steamfitters,23
Plasterers and Stucco Masons,23
Reinforcing Iron and Rebar Workers,23
Roofers,23
Sheet Metal Workers,23
Structural Iron and Steel Workers,23
Helpers–Brickmasons; Blockmasons; Stonemasons; and Tile and Marble Setters,23
Helpers–Carpenters,23
Helpers–Electricians,23
Helpers–Painters; Paperhangers; Plasterers; and Stucco Masons,23
Helpers–Pipelayers; Plumbers; Pipefitters; and Steamfitters,23
Helpers–Roofers,23
Construction and Building Inspectors,23
Elevator Installers and Repairers,23
Fence Erectors,23
Industrial Production Managers,31
Industrial Engineering Technicians,31
Industrial-Organizational Psychologists,31
Commercial and Industrial Designers,31
Production; Planning; and Expediting Clerks,31
Industrial Machinery Mechanics,31
Maintenance Workers; Machinery,31
Millwrights,31
Refractory Materials Repairers; Except Brickmasons,31
Electrical Power-Line Installers and Repairers,31
First-Line Supervisors of Production and Operating Workers,31
Computer-Controlled Machine Tool Operators; Metal and Plastic,31
Computer Numerically Controlled Machine Tool Programmers; Metal and Plastic,31
Extruding and Drawing Machine Setters; Operators; and Tenders; Metal and Plastic,31
Forging Machine Setters; Operators; and Tenders; Metal and Plastic,31
Rolling Machine Setters; Operators; and Tenders; Metal and Plastic,31
Cutting; Punching; and Press Machine Setters; Operators; and Tenders; Metal and Plastic,31
Drilling and Boring Machine Tool Setters; Operators; and Tenders; Metal and Plastic,31
Grinding; Lapping; Polishing; and Buffing Machine Tool Setters; Operators; and Tenders; Metal and Plastic,31
Lathe and Turning Machine Tool Setters; Operators; and Tenders; Metal and Plastic,31
Milling and Planing Machine Setters; Operators; and Tenders; Metal and Plastic,31
Machinists,31
Metal-Refining Furnace Operators and Tenders,31
Pourers and Casters; Metal,31
Model Makers; Metal and Plastic,31
Patternmakers; Metal and Plastic,31
Foundry Mold and Coremakers,31
Molding; Coremaking; and Casting Machine Setters; Operators; and Tenders; Metal and Plastic,31
Multiple Machine Tool Setters; Operators; and Tenders; Metal and Plastic,31
Tool and Die Makers,31
Welders; Cutters; Solderers; and Brazers,31
Welding; Soldering; and Brazing Machine Setters; Operators; and Tenders,31
Heat Treating Equipment Setters; Operators; and Tenders; Metal and Plastic,31
Layout Workers; Metal and Plastic,31
Plating and Coating Machine Setters; Operators; and Tenders; Metal and Plastic,31
Tool Grinders; Filers; and Sharpeners,31
Prepress Technicians and Workers,31
Printing Press Operators,31
Print Binding and Finishing Workers,31
Wholesale and Retail Buyers; Except Farm Products,42
Sales Representatives; Wholesale and Manufacturing; Technical and Scientific Products,42
