naics_code,busyness_count,busyness_value,annual_pay,worker_count
322291,142,12175509,949647,18071
322299,521,5207281,745660,16455
323,27561,82453090,19967837,462117
3231,27561,82453090,19967837,462117
32311,25832,78950451,18720362,434574
323110,10464,39581415,9871420,215340
323111,261,3037137,566390,12260
323112,904,8701186,1756076,34417
323113,4509,7218253,1853600,57812
323114,4001,1848829,565566,16848
323115,3326,8218414,2006481,46129
323116,459,3660379,518087,13248
323117,476,4234220,999725,24104
323118,152,1118640,204068,4939
323119,1280,1331978,378949,9478
32312,1729,3502639,1247475,27542
323121,748,1435989,507853,14768
323122,981,2066650,739622,12774
324,2193,851135772,9371940,101209
3241,2193,851135772,9371940,101209
32411,158,801904517,7012019,62542
324110,158,801904517,7012019,62542
32412,1597,24040927,1325309,23496
324121,1374,13280805,745697,14402
324122,223,10760122,579612,9094
32419,438,25190328,1034612,15172
324191,328,19866748,822726,11835
324199,110,5323580,211886,3337
325,13317,785299730,53312521,735553
3251,2482,275975146,11814459,148270
32511,55,82370366,971910,8582
325110,55,82370366,971910,8582
32512,451,7371242,686415,9723
325120,451,7371242,686415,9723
32513,158,9098635,651611,9064
325131,80,6783761,409385,5455
325132,78,2314874,242226,3608
32518,645,34655735,2878668,37114
325181,53,8086846,601409,6879
325182,28,2359356,122643,1714
325188,564,24209533,2154616,28521
32519,1173,142479168,6625855,83787
325191,58,2337098,157829,2594
325192,28,7145975,302716,3052
325193,222,42648897,602758,10391
325199,865,90347198,5562552,67751
3252,1415,109511724,5939336,87103
32521,1291,100881840,5271150,73440
325211,1144,91522116,4764686,66325
325212,147,9359724,506464,7115
32522,124,8629884,668186,13664
325221,11,1720702,103399,1455
325222,113,6909182,564787,12209
3253,925,41460770,1982136,30601
32531,715,26284952,1237699,19205
325311,189,9493392,393352,5255
325312,78,11644813,480075,6582
325314,448,5146747,364272,7368
32532,210,15175818,744437,11397
325320,210,15175818,744437,11397
3254,2150,189036465,20357697,243270
32541,2150,189036465,20357697,243270
325411,427,12583494,2039372,27879
325412,1165,136453046,12516539,147595
325413,237,12907942,2354333,27311
325414,321,27091983,3447453,40485
3255,1705,36181568,3239437,53650
32551,1162,24073361,2061855,34148
325510,1162,24073361,2061855,34148
32552,543,12108207,1177582,19503
325520,543,12108207,1177582,19503
3256,2220,86805714,5266511,91214
32561,1313,46332626,2574998,42695
325611,662,25056519,1280630,22398
325612,506,9578659,853957,14807
325613,145,11697448,440411,5490
32562,907,40473088,2691513,48520
325620,907,40473088,2691513,48520
3259,2420,46328343,4712945,81445
32591,408,4895756,604195,10719
325910,408,4895756,604195,10719
32592,77,2133175,358202,6180
325920,77,2133175,358202,6180
32599,1935,39299412,3750548,64546
325991,452,10318344,926700,16938
325992,320,8731724,816215,13927
325998,1163,20249344,2007633,33681
326,12767,218571414,31073706,699924
3261,10825,173082420,24921600,571968
32611,1310,39810803,4875833,93929
326111,319,9462487,1185239,26473
326112,401,12770969,1621866,30792
326113,590,17577347,2068728,36664
32612,880,15347469,1826373,39949
326121,406,6150654,917577,19002
326122,474,9196815,908796,20947
32613,240,3527597,535514,10787
326130,240,3527597,535514,10787
32614,429,8648916,951087,24088
326140,429,8648916,951087,24088
32615,650,9523584,1205016,28498
326150,650,9523584,1205016,28498
32616,458,12215000,1338229,31817
326160,458,12215000,1338229,31817
32619,6858,84009051,14189548,342900
326191,394,2962616,523163,14512
326192,70,1849167,237266,4139
326199,6394,79197268,13429119,324250
3262,1942,45488994,6152106,127956
32621,530,21760784,2702452,49824
326211,111,20240441,2456984,43197
326212,419,1520343,245468,6627
32622,256,5243034,838403,18748
326220,256,5243034,838403,18748
32629,1156,18485176,2611251,59385
326291,455,7482114,1196530,28414
326299,701,11003062,1414721,30971
327,15388,99042260,16383560,352424
3271,1243,7290688,1450917,34370
32711,669,2154455,516574,13097
327111,23,700653,121966,2977
327112,547,578367,176583,5744
327113,99,875435,218025,4377
32712,574,5136233,934343,21273
327121,178,1032050,259869,6865
327122,126,1011819,167445,4330
327123,34,143306,47979,1090
327124,138,1250986,204653,4389
327125,98,1698072,254397,4600
3272,1810,23217580,4074785,83475
32721,1810,23217580,4074785,83475
327211,62,3164168,437173,9022
327212,440,3669567,711467,14856
327213,61,4995432,843504,14584
327215,1247,11388413,2082641,45014
3273,8865,41068560,6859319,152909
32731,241,5894830,779741,11957
327310,241,5894830,779741,11957
32732,5475,20474199,3164009,71527
327320,5475,20474199,3164009,71527
32733,1182,6006510,1044768,23273
327331,822,3990537,663346,15006
327332,360,2015973,381422,8267
32739,1967,8693021,1870801,46153
327390,1967,8693021,1870801,46153
3274,310,6039963,682482,12124
32741,94,2355389,252649,4363
327410,94,2355389,252649,4363
32742,216,3684574,429833,7761
327420,216,3684574,429833,7761
3279,3160,21425469,3316057,69545
32791,303,5394985,710232,12701
327910,303,5394985,710232,12701
32799,2857,16030484,2605825,56844
327991,1876,3551282,945162,24909
327992,252,3484292,424200,7258
327993,271,4863245,761110,13950
327999,458,4131665,475353,10728
331,4541,269539592,23237120,392495
3311,406,112594350,7792245,102974
33111,406,112594350,7792245,102974
331111,380,109991496,7560938,99246
331112,26,2602854,231307,3728
3312,687,25911590,2666958,47219
33121,206,14705685,1598582,26400
331210,206,14705685,1598582,26400
33122,481,11205905,1068376,20818
331221,180,5583122,420197,6780
331222,301,5622783,648179,14039
3313,539,37652496,3151999,55998
33131,539,37652496,3151999,55998
331311,19,1428892,140903,1944
331312,26,5066331,471429,6874
331314,115,5792117,306430,5592
331315,104,16058144,1124580,17108
331316,212,7985581,983525,21537
331319,63,1321431,125132,2943
3314,1029,61486822,3645249,60733
33141,207,15315607,699014,10969
331411,12,6147186,125974,2143
331419,195,9168421,573040,8826
33142,252,23346731,1199671,21378
331421,98,14375592,544457,9639
331422,129,7457238,585292,10719
331423,25,1513901,69922,1021
33149,570,22824484,1746564,28386
331491,310,7823665,1089138,17428
331492,260,15000819,657426,10958
3315,1880,31894334,5980669,125573
33151,731,19130788,3481252,70506
331511,401,10938313,1904965,38637
331512,122,3735245,717435,14301
331513,208,4457230,858852,17568
33152,1149,12763546,2499417,55067
331521,299,5760569,1023599,23319
331522,129,1934351,374264,6977
331524,424,2835243,662275,15416
331525,187,1467848,266413,5891
331528,110,765535,172866,3464
332,55502,339926995,67702554,1388550
3321,2535,34440170,5640031,111731
33211,2535,34440170,5640031,111731
332111,346,9242769,1228148,21836
332112,61,2986591,408438,6964
332114,491,8354286,1086227,21408
332115,56,1428249,181236,3631
332116,1445,10423770,2357489,49588
332117,136,2004505,378493,8305
3322,1189,9822300,1733858,35040
33221,1189,9822300,1733858,35040
332211,123,2925507,257635,4452
332212,900,5162002,1092855,23342
332213,111,941395,248991,4408
332214,55,793396,134377,2838
3323,12366,76076067,14837942,320394
33231,4960,40149799,7193747,144942
332311,643,6206468,1093711,21712
332312,3081,26606008,4443288,87923
332313,1236,7337323,1656748,35307
33232,7406,35926268,7644195,175452
332321,1081,9855881,1892264,45665
332322,4120,20275600,4471047,99904
332323,2205,5794787,1280884,29883
3324,1535,35099468,4912510,88594
33241,317,7014783,1414109,24061
332410,317,7014783,1414109,24061
33242,703,9347546,1846883,35449
332420,703,9347546,1846883,35449
33243,515,18737139,1651518,29085
332431,173,15151474,1120477,17296
332439,342,3585665,531041,11789
3325,612,7426842,1205942,26167
33251,612,7426842,1205942,26167
332510,612,7426842,1205942,26167
3326,1292,8667723,1633723,37694
33261,1292,8667723,1633723,37694
332611,93,1037886,168709,3562
332612,297,2561336,519265,11413
332618,902,5068501,945749,22719
3327,23766,66914783,18913063,387612
33271,19258,38891707,11858746,246799
332710,19258,38891707,11858746,246799
33272,4508,28023076,7054317,140813
332721,3682,18114189,5145102,104493
332722,826,9908887,1909215,36321
3328,5771,26924797,5369071,124531
33281,5771,26924797,5369071,124531
332811,815,6588501,1093303,22199
332812,2527,13103923,2147760,49633
332813,2429,7232373,2128008,52698
3329,6436,74554845,13456414,256788
33291,1263,32013494,5375547,96412
332911,529,12927621,2146222,37744
332912,369,10173868,2027212,35379
332913,118,3849182,363482,7492
332919,247,5062823,838631,15798
33299,5173,42541351,8080867,160375
332991,174,6938477,1166469,23034
332992,111,3648529,601249,10413
